alert_id,timestamp,alert_source,alert_type,severity,description,endpoint_id,endpoint_type,operating_system,user_role,department,endpoint_risk_score,user_risk_score,source_ip,destination_ip,country,process_name,parent_process,command_line,authentication_result,previous_alert_count,previous_incident_count,similar_alert_count,historical_false_positive_rate,historical_incident_rate,analyst_disposition,confirmed_incident,incident_type,investigation_reason,ground_truth,novelty_test_flag
A00452,2026-02-12 13:59:37,SIEM,Multiple Failed Logins,Low,"6 failed login attempts detected for account within 10 minutes on PC-0078, in the Security environment.",PC-0078,Cloud VM,Windows Server 2022,Security Analyst,Security,47,22,10.254.50.88,10.79.192.219,Iran,svchost.exe,explorer.exe,svchost.exe (flagged by behavioral detection rule),Multiple Failed,0,0,8,0.77,0.27,True Incident,Yes,Brute Force,Command-and-control beaconing confirmed,True Incident,No
A00453,2026-02-12 15:59:58,Email Security,Phishing Email,Medium,"Email security engine flagged a message with spoofed sender domain on PC-0076, during business hours.",PC-0076,Cloud VM,Ubuntu 22.04,Developer,Engineering,56,39,10.226.52.7,10.31.237.32,India,wscript.exe,services.exe,wscript.exe (flagged by behavioral detection rule),Not Applicable,1,0,5,0.49,0.53,True Incident,Yes,Phishing,Ransomware behavior detected,True Incident,No
A00454,2026-02-12 17:25:32,EDR,Suspicious PowerShell,Medium,"PowerShell process launched with elevated parameters from explorer.exe on PC-0114, on host running Ubuntu 22.04.",PC-0114,Production Server,Ubuntu 22.04,Security Analyst,Security,94,19,10.37.154.129,192.168.235.172,Canada,powershell.exe,explorer.exe,"powershell.exe -Command ""Get-Process""",Not Applicable,1,0,5,0.9,0.09,False Positive,No,Approved Script,Approved remote administration,False Positive,No
A00455,2026-02-12 19:15:27,Firewall,Abnormal Network Traffic,High,"Unusual protocol usage detected on Cloud VM on PC-0022, in the IT environment.",PC-0022,Cloud VM,Windows Server 2022,System Administrator,IT,48,33,10.23.229.107,10.69.5.115,United States,chrome.exe,outlook.exe,chrome.exe (flagged by behavioral detection rule),Not Applicable,2,1,8,0.73,0.29,True Incident,Yes,Data Exfiltration,Persistence mechanism confirmed on host,True Incident,No
A00456,2026-02-12 19:36:40,EDR,Persistence Mechanism,High,"Registry run-key modification detected on Employee Laptop on PC-0003, on host running Windows 11.",PC-0003,Employee Laptop,Windows 11,Database Administrator,Engineering,23,44,192.168.243.156,10.15.134.133,India,schtasks.exe,powershell.exe,schtasks.exe /create /tn [redacted] /sc onlogon /ru SYSTEM,Not Applicable,4,2,4,0.22,0.82,True Incident,Yes,Persistence,Suspicious process chain confirmed,True Incident,No
A00457,2026-02-13 02:52:52,EDR,Suspicious PowerShell,Low,"Encoded PowerShell command observed originating from services.exe on PC-0049, involving process powershell.exe.",PC-0049,Developer Workstation,Windows 11,HR User,HR,34,26,192.168.167.153,192.168.219.244,United Kingdom,powershell.exe,services.exe,"powershell.exe -Command ""Get-Process""",Not Applicable,6,2,10,0.78,0.25,False Positive,No,Scheduled Task,IT-managed patch deployment triggered the rule,False Positive,No
A00458,2026-02-13 03:00:45,Cloud Security,Suspicious Login,Medium,"Login from unfamiliar device/browser fingerprint on PC-0018, associated with security analyst account.",PC-0018,Database Server,Windows Server 2022,Security Analyst,Security,81,12,10.14.123.213,192.168.132.38,United States,svchost.exe,winword.exe,"svchost.exe (routine execution, no notable arguments)",Success,12,5,13,0.7,0.32,False Positive,No,Benign Activity,Scheduled backup generated the alert,False Positive,No
A00459,2026-02-13 03:22:30,IAM,Multiple Failed Logins,High,"Repeated authentication failures observed from 192.168.250.110 on PC-0214, involving process java.exe.",PC-0214,Developer Workstation,Ubuntu 24.04,Employee,Operations,37,18,192.168.250.110,192.168.251.28,Singapore,java.exe,explorer.exe,"java.exe (routine execution, no notable arguments)",Failed,12,6,13,0.76,0.24,False Positive,No,Legitimate Software,Legitimate software update,False Positive,No
A00460,2026-02-13 04:34:15,SIEM,Data Exfiltration,Critical,"Unusual volume of data uploaded to external destination on PC-0165, in the Finance environment.",PC-0165,Database Server,Windows Server 2022,Employee,Finance,86,29,109.4.106.150,10.15.92.192,India,python.exe,winword.exe,python.exe (flagged by behavioral detection rule),Not Applicable,22,8,2,0.28,0.72,True Incident,Yes,Data Exfiltration,Credential theft indicators observed,True Incident,No
A00461,2026-02-13 07:30:23,EDR,Suspicious PowerShell,High,"PowerShell process launched with elevated parameters from services.exe on PC-0160, involving process powershell.exe.",PC-0160,Employee Laptop,Windows 10,Database Administrator,IT,23,63,192.168.110.207,192.168.204.237,Canada,powershell.exe,services.exe,"powershell.exe -Command ""Get-ChildItem C:\Logs""",Not Applicable,17,7,21,0.78,0.23,False Positive,No,Legitimate Software,Whitelisted internal tool flagged by generic signature,False Positive,No
A00462,2026-02-13 09:12:21,SIEM,Multiple Failed Logins,Low,"12 failed login attempts detected for account within 10 minutes on PC-0127, on host running Windows Server 2022.",PC-0127,Database Server,Windows Server 2022,IT Support,IT,71,35,10.57.225.41,192.168.227.111,United States,chrome.exe,winword.exe,"chrome.exe (routine execution, no notable arguments)",Failed,9,1,9,0.76,0.31,False Positive,No,Legitimate Software,Legitimate software update,False Positive,No
A00463,2026-02-13 11:35:54,EDR,Suspicious PowerShell,Medium,"PowerShell process launched with bypass parameters from explorer.exe on PC-0131, per EDR rule set.",PC-0131,Database Server,Red Hat Enterprise Linux,Employee,Finance,67,33,10.236.80.254,192.168.92.139,Germany,powershell.exe,explorer.exe,"powershell.exe -Command ""Get-Process""",Not Applicable,2,0,11,0.73,0.27,False Positive,No,Benign Activity,Legitimate software update,False Positive,No
A00464,2026-02-13 12:22:38,EDR,Persistence Mechanism,High,"New scheduled task created outside change window on PC-0018, correlated with parent process powershell.exe.",PC-0018,Database Server,Windows Server 2022,DevOps Engineer,Engineering,81,35,10.87.232.221,10.155.182.251,United States,schtasks.exe,powershell.exe,"schtasks.exe /create /tn ""BackupJob"" /sc daily",Not Applicable,13,5,4,0.26,0.77,False Positive,No,Approved Script,Recurring vendor maintenance window,False Positive,No
A00465,2026-02-13 15:58:26,SIEM,Suspicious DNS Query,Low,"DNS query to newly-observed domain from Developer Workstation on PC-0179, on host running Windows 11.",PC-0179,Developer Workstation,Windows 11,Developer,Engineering,30,28,10.22.5.171,192.168.52.145,Singapore,svchost.exe,services.exe,"svchost.exe (routine execution, no notable arguments)",Not Applicable,3,1,7,0.72,0.23,False Positive,No,Authorized Administration,Whitelisted internal tool flagged by generic signature,False Positive,No
A00466,2026-02-13 17:39:27,EDR,Suspicious PowerShell,Medium,"PowerShell process launched with hidden-window parameters from cmd.exe on PC-0073, involving process powershell.exe.",PC-0073,Employee Laptop,Windows 10,Developer,Engineering,19,16,10.98.126.53,10.85.125.92,Canada,powershell.exe,cmd.exe,"powershell.exe -Command ""Get-Process""",Not Applicable,2,1,24,0.75,0.28,False Positive,No,Security Tool Noise,Known security scanner triggered the rule,False Positive,No
A00467,2026-02-13 19:52:51,EDR,Command and Control,Critical,"Periodic beaconing pattern detected to external host on PC-0020, associated with employee account.",PC-0020,Employee Laptop,Windows 10,Employee,Unknown,11,30,209.145.106.160,199.125.98.225,Canada,svchost.exe,services.exe,svchost.exe -k netsvcs (beaconing to [redacted-external-host]),Not Applicable,2,1,5,0.31,0.72,True Incident,Yes,Command and Control,Persistence mechanism confirmed on host,True Incident,No
A00468,2026-02-14 08:53:21,EDR,Suspicious PowerShell,High,"Encoded PowerShell command observed originating from explorer.exe on PC-0018, associated with hr user account.",PC-0018,Database Server,Windows Server 2022,HR User,HR,81,42,192.168.138.24,10.29.227.200,Singapore,powershell.exe,explorer.exe,"powershell.exe -Command ""Get-Process""",Not Applicable,14,5,12,0.79,0.25,False Positive,No,Expected User Behavior,Approved remote administration,False Positive,No
A00469,2026-02-14 12:22:41,SIEM,Multiple Failed Logins,Medium,"6 failed login attempts detected for account within 30 minutes on PC-0110, involving process cmd.exe.",PC-0110,Developer Workstation,Ubuntu 24.04,Security Analyst,Security,31,12,10.137.47.145,10.229.175.160,India,cmd.exe,cmd.exe,"cmd.exe (routine execution, no notable arguments)",Multiple Failed,0,0,13,0.72,0.31,False Positive,No,Expected User Behavior,Expected login behavior,False Positive,No
A00470,2026-02-14 13:20:33,EDR,Unusual Process Execution,High,"Process execution chain deviates from historical baseline on PC-0130, per EDR rule set.",PC-0130,Database Server,Red Hat Enterprise Linux,Employee,Finance,75,31,192.168.204.65,10.72.13.228,United States,rundll32.exe,winword.exe,"rundll32.exe shell32.dll,Control_RunDLL",Not Applicable,17,4,7,0.68,0.34,False Positive,No,Scheduled Task,Recurring vendor maintenance window,False Positive,No
A00471,2026-02-14 14:24:49,Firewall,Brute Force,Medium,"Repeated authentication attempts against VPN gateway detected on PC-0002, correlated with parent process cmd.exe. — pattern not previously observed for this endpoint/alert-type combination",PC-0002,Web Server,Ubuntu 22.04,Employee,Operations,63,18,177.117.169.91,10.48.138.54,Nigeria,python.exe,cmd.exe,python.exe (flagged by behavioral detection rule),Multiple Failed,1,1,2,0.85,0.14,True Incident,Yes,Brute Force,Privilege escalation validated by IR team,True Incident,Yes
A00472,2026-02-14 15:39:41,Firewall,Brute Force,Medium,"Automated login attempts observed from 192.168.78.249 on PC-0013, during business hours.",PC-0013,Web Server,Ubuntu 24.04,Developer,Engineering,66,35,192.168.78.249,10.120.130.161,Unknown,wscript.exe,outlook.exe,wscript.exe (flagged by behavioral detection rule),Multiple Failed,0,0,3,0.6,0.37,True Incident,Yes,Brute Force,Command-and-control beaconing confirmed,True Incident,No
A00473,2026-02-14 15:44:15,IAM,Suspicious Login,Medium,"Login from unfamiliar device/browser fingerprint on PC-0023, on host running Ubuntu 24.04.",PC-0023,Cloud VM,Ubuntu 24.04,HR User,HR,50,25,25.183.29.43,10.148.221.71,Australia,outlook.exe,cmd.exe,outlook.exe (flagged by behavioral detection rule),Success,1,1,4,0.72,0.25,True Incident,Yes,Unauthorized Access,Command-and-control beaconing confirmed,True Incident,No
A00474,2026-02-14 16:11:57,Antivirus,Malware Detection,High,"Endpoint protection flagged a known malware family on host on PC-0116, associated with devops engineer account.",PC-0116,Developer Workstation,Ubuntu 22.04,DevOps Engineer,Engineering,34,49,10.246.64.169,192.168.86.93,Germany,unknown_binary.exe,explorer.exe,"unknown_binary.exe (routine execution, no notable arguments)",Not Applicable,18,4,0,0.35,0.63,False Positive,No,Security Tool Noise,Scheduled backup generated the alert,False Positive,No
A00475,2026-02-14 16:29:19,IAM,Multiple Failed Logins,Medium,"6 failed login attempts detected for account within 15 minutes on PC-0184, involving process chrome.exe.",PC-0184,Developer Workstation,Ubuntu 22.04,Employee,Finance,35,31,192.168.86.194,192.168.153.115,United Kingdom,chrome.exe,winword.exe,"chrome.exe (routine execution, no notable arguments)",Failed,4,0,13,0.74,0.27,False Positive,No,Approved Script,Scheduled backup generated the alert,False Positive,No
A00476,2026-02-14 22:57:42,EDR,Privilege Escalation,Medium,"Local privilege escalation attempt flagged on Employee Laptop on PC-0081, correlated with parent process powershell.exe.",PC-0081,Employee Laptop,Windows 10,Developer,Engineering,18,35,192.168.213.101,10.227.20.35,Singapore,cmd.exe,powershell.exe,cmd.exe /c net user [redacted] /add,Success,0,0,4,0.21,0.78,True Incident,Yes,Privilege Escalation,Command-and-control beaconing confirmed,True Incident,No
A00477,2026-02-15 03:01:53,SIEM,Multiple Failed Logins,Low,"20 failed login attempts detected for account within 30 minutes on PC-0160, during off-hours.",PC-0160,Employee Laptop,Windows 10,Employee,HR,23,20,10.43.112.63,10.102.90.35,United Kingdom,python.exe,explorer.exe,"python.exe (routine execution, no notable arguments)",Failed,18,7,18,0.69,0.33,False Positive,No,Approved Script,Authorized administrative script,False Positive,No
A00478,2026-02-15 03:32:41,IDS,Abnormal Network Traffic,High,"Unusual protocol usage detected on Developer Workstation on PC-0055, involving process chrome.exe.",PC-0055,Developer Workstation,Ubuntu 22.04,Security Analyst,Security,39,20,10.204.143.103,10.214.28.122,United States,chrome.exe,services.exe,chrome.exe (flagged by behavioral detection rule),Not Applicable,0,0,13,0.67,0.33,True Incident,Yes,Data Exfiltration,Phishing payload confirmed malicious,True Incident,No
A00479,2026-02-15 05:10:34,Firewall,Port Scan,Medium,"Sequential connection attempts across multiple ports detected from 10.75.114.173 on PC-0109, associated with finance user account.",PC-0109,Developer Workstation,Windows 11,Finance User,Finance,34,26,10.75.114.173,10.101.210.30,United States,mshta.exe,explorer.exe,"mshta.exe (routine execution, no notable arguments)",Not Applicable,1,0,8,0.79,0.21,False Positive,No,Scheduled Task,Developer running approved deployment script,False Positive,No
A00480,2026-02-15 05:33:38,SIEM,Suspicious DNS Query,Medium,"DNS query to newly-observed domain from Web Server on PC-0153, on host running Ubuntu 24.04.",PC-0153,Web Server,Ubuntu 24.04,System Administrator,IT,59,45,10.198.185.123,192.168.16.109,United States,java.exe,cmd.exe,"java.exe (routine execution, no notable arguments)",Not Applicable,1,0,5,0.84,0.22,False Positive,No,Legitimate Software,Approved remote administration,False Positive,No
A00481,2026-02-15 09:01:28,Cloud Security,Impossible Travel,High,"Login observed from India shortly after login from India on PC-0124, in the Engineering environment.",PC-0124,Production Server,Red Hat Enterprise Linux,Database Administrator,Engineering,63,36,192.168.96.45,10.93.21.226,India,java.exe,outlook.exe,"java.exe (routine execution, no notable arguments)",Failed,2,1,4,0.29,0.72,False Positive,No,Approved Script,Legitimate software update,False Positive,No
A00482,2026-02-15 13:25:04,EDR,Suspicious PowerShell,Medium,"Encoded PowerShell command observed originating from winword.exe on PC-0160, during business hours.",PC-0160,Employee Laptop,Windows 10,IT Support,IT,23,17,192.168.199.147,10.5.84.92,Singapore,powershell.exe,winword.exe,"powershell.exe -Command ""Get-ChildItem C:\Logs""",Not Applicable,19,7,23,0.77,0.2,False Positive,No,Security Tool Noise,Whitelisted internal tool flagged by generic signature,False Positive,No
A00483,2026-02-15 13:40:38,EDR,Suspicious PowerShell,High,"Encoded PowerShell command observed originating from services.exe on PC-0122, per EDR rule set.",PC-0122,Employee Laptop,Windows 10,DevOps Engineer,Engineering,14,49,10.1.173.59,192.168.172.161,India,powershell.exe,services.exe,powershell.exe -ExecutionPolicy Bypass -File deploy.ps1,Not Applicable,8,3,22,0.76,0.17,False Positive,No,Legitimate Software,Known security scanner triggered the rule,False Positive,No
A00484,2026-02-15 14:19:18,IDS,Port Scan,Low,"Sequential connection attempts across multiple ports detected from 10.218.25.79 on PC-0018, involving process outlook.exe.",PC-0018,Database Server,Windows Server 2022,Finance User,Finance,81,25,10.218.25.79,10.210.48.76,United States,outlook.exe,services.exe,"outlook.exe (routine execution, no notable arguments)",Not Applicable,15,5,10,0.83,0.19,False Positive,No,Expected User Behavior,Approved remote administration,False Positive,No
A00485,2026-02-15 15:04:06,EDR,Suspicious PowerShell,Medium,"PowerShell script execution flagged by EDR behavioral rule on PC-0122, on host running Windows 10.",PC-0122,Employee Laptop,Windows 10,Finance User,Finance,14,26,192.168.67.174,192.168.119.104,Canada,powershell.exe,Unknown,powershell.exe -ExecutionPolicy Bypass -File deploy.ps1,Not Applicable,9,3,23,0.8,0.25,False Positive,No,Security Tool Noise,Whitelisted internal tool flagged by generic signature,False Positive,No
A00486,2026-02-15 15:24:42,SIEM,Unauthorized Software,Low,"Software inventory scan flagged unlisted application on PC-0051, involving process setup_tool.exe.",PC-0051,Web Server,Ubuntu 22.04,IT Support,IT,67,25,192.168.171.11,192.168.197.6,India,setup_tool.exe,explorer.exe,setup_tool.exe /silent /approved,Not Applicable,10,2,8,0.69,0.31,False Positive,No,Authorized Administration,Known security scanner triggered the rule,False Positive,No
A00487,2026-02-15 15:31:46,IDS,Suspicious DNS Query,Medium,"DNS query to newly-observed domain from Developer Workstation on PC-0202, correlated with parent process explorer.exe.",PC-0202,Developer Workstation,Ubuntu 22.04,Security Analyst,Security,36,17,192.168.108.6,192.168.241.180,United States,outlook.exe,explorer.exe,"outlook.exe (routine execution, no notable arguments)",Not Applicable,2,0,8,0.78,0.21,False Positive,No,Scheduled Task,Legitimate software update,False Positive,No
A00488,2026-02-15 22:41:37,IAM,Privilege Escalation,Critical,"Local privilege escalation attempt flagged on Production Server on PC-0201, on host running Red Hat Enterprise Linux.",PC-0201,Production Server,Red Hat Enterprise Linux,Employee,Management,77,21,10.23.198.121,192.168.212.53,United States,cmd.exe,powershell.exe,cmd.exe /c net localgroup administrators,Success,0,0,2,0.33,0.65,False Positive,No,Scheduled Task,Expected login behavior,False Positive,No
A00489,2026-02-15 23:37:23,SIEM,Data Exfiltration,Critical,"Unusual volume of data uploaded to external destination on PC-0049, during off-hours.",PC-0049,Developer Workstation,Windows 11,Employee,Sales,34,29,192.168.39.140,192.168.226.8,India,java.exe,services.exe,java.exe (flagged by behavioral detection rule),Not Applicable,7,2,7,0.3,0.68,True Incident,Yes,Data Exfiltration,Phishing payload confirmed malicious,True Incident,No
A00490,2026-02-16 05:54:37,Email Security,Malicious File Download,Medium,"File download from newly-registered domain flagged on PC-0027, correlated with parent process explorer.exe.",PC-0027,Cloud VM,Ubuntu 22.04,Developer,Engineering,40,14,192.168.214.180,10.104.119.119,United States,chrome.exe,explorer.exe,chrome.exe (download from newly-registered domain),Not Applicable,7,4,4,0.4,0.67,True Incident,Yes,Malware,Unauthorized login confirmed,True Incident,No
A00491,2026-02-16 06:16:57,IDS,Suspicious DNS Query,Medium,"High-entropy DNS query pattern suggestive of tunneling on PC-0016, correlated with parent process explorer.exe.",PC-0016,Employee Laptop,Windows 10,Database Administrator,Engineering,16,36,10.167.154.176,192.168.9.29,Germany,outlook.exe,explorer.exe,"outlook.exe (routine execution, no notable arguments)",Not Applicable,0,0,11,0.83,0.14,False Positive,No,Authorized Administration,Developer running approved deployment script,False Positive,No
A00492,2026-02-16 10:03:42,SIEM,Unauthorized Software,Medium,"Installation of non-approved application detected on Employee Laptop on PC-0003, per SIEM rule set.",PC-0003,Employee Laptop,Windows 11,Developer,Engineering,23,28,10.142.125.208,10.75.38.120,Australia,setup_tool.exe,explorer.exe,setup_tool.exe /silent /approved,Not Applicable,5,3,15,0.74,0.24,False Positive,No,Legitimate Software,Known security scanner triggered the rule,False Positive,No
A00493,2026-02-16 11:20:31,IDS,Abnormal Network Traffic,High,"Traffic volume deviates significantly from endpoint baseline on PC-0160, correlated with parent process explorer.exe.",PC-0160,Employee Laptop,Windows 10,Finance User,Finance,23,35,192.168.72.231,Unknown,United States,python.exe,explorer.exe,python.exe (flagged by behavioral detection rule),Not Applicable,20,7,10,0.61,0.43,True Incident,Yes,Data Exfiltration,Command-and-control beaconing confirmed,True Incident,No
A00494,2026-02-16 11:47:43,SIEM,Abnormal Network Traffic,Medium,"Unusual protocol usage detected on Employee Laptop on PC-0040, on host running Windows 11.",PC-0040,Employee Laptop,Windows 11,System Administrator,IT,21,57,192.168.33.117,10.76.84.154,United States,outlook.exe,explorer.exe,"outlook.exe (routine execution, no notable arguments)",Not Applicable,6,1,9,0.61,0.34,False Positive,No,Benign Activity,Authorized administrative script,False Positive,No
A00495,2026-02-16 12:27:13,Cloud Security,Suspicious Login,High,"Login flagged due to unusual time-of-day pattern on PC-0130, involving process chrome.exe.",PC-0130,Database Server,Red Hat Enterprise Linux,Developer,Engineering,75,36,10.1.216.240,192.168.57.185,India,chrome.exe,services.exe,"chrome.exe (routine execution, no notable arguments)",MFA Failure,18,4,11,0.73,0.26,False Positive,No,Security Tool Noise,Authorized administrative script,False Positive,No
A00496,2026-02-16 13:00:43,IAM,Suspicious Login,Low,"Login flagged due to unusual time-of-day pattern on PC-0197, involving process wscript.exe.",PC-0197,Developer Workstation,Windows 11,Developer,Engineering,26,27,10.135.143.69,10.195.94.165,Australia,wscript.exe,explorer.exe,"wscript.exe (routine execution, no notable arguments)",Success,2,2,9,0.65,0.38,False Positive,No,Scheduled Task,Legitimate software update,False Positive,No
A00497,2026-02-16 13:05:09,Cloud Security,Impossible Travel,Medium,"Geographically inconsistent login pattern detected for user on PC-0051, per Cloud Security rule set.",PC-0051,Web Server,Ubuntu 22.04,Security Analyst,Security,67,22,10.114.234.94,10.93.136.146,United Kingdom,outlook.exe,services.exe,"outlook.exe (routine execution, no notable arguments)",MFA Success,11,2,4,0.41,0.62,False Positive,No,Approved Script,IT-managed patch deployment triggered the rule,False Positive,No
A00498,2026-02-16 13:50:11,EDR,Suspicious PowerShell,Medium,"Encoded PowerShell command observed originating from cmd.exe on PC-0165, on host running Windows Server 2022.",PC-0165,Database Server,Windows Server 2022,Database Administrator,Engineering,86,54,10.217.130.129,Unknown,India,powershell.exe,cmd.exe,powershell.exe -ExecutionPolicy Bypass -File deploy.ps1,Not Applicable,23,9,12,0.66,0.35,False Positive,No,Scheduled Task,Legitimate software update,False Positive,No
A00499,2026-02-16 14:01:19,EDR,Data Exfiltration,High,"Unusual volume of data uploaded to external destination on PC-0165, in the IT environment.",PC-0165,Database Server,Windows Server 2022,System Administrator,IT,86,46,10.204.210.39,192.168.65.60,India,wscript.exe,services.exe,"wscript.exe (routine execution, no notable arguments)",Not Applicable,24,9,1,0.14,0.86,False Positive,No,Security Tool Noise,Developer running approved deployment script,False Positive,No
A00500,2026-02-16 17:55:33,SIEM,Multiple Failed Logins,High,"Repeated authentication failures observed from 10.198.94.43 on PC-0114, associated with developer account.",PC-0114,Production Server,Ubuntu 22.04,Developer,Engineering,94,46,10.198.94.43,192.168.65.3,Australia,chrome.exe,cmd.exe,"chrome.exe (routine execution, no notable arguments)",Failed,2,0,5,0.68,0.33,False Positive,No,Authorized Administration,Expected login behavior,False Positive,No
A00501,2026-02-16 18:42:21,IDS,Suspicious DNS Query,High,"High-entropy DNS query pattern suggestive of tunneling on PC-0020, involving process outlook.exe.",PC-0020,Employee Laptop,Windows 10,Finance User,Finance,11,24,192.168.244.222,192.168.237.182,United States,outlook.exe,cmd.exe,"outlook.exe (routine execution, no notable arguments)",Not Applicable,3,2,10,0.83,0.16,False Positive,No,Legitimate Software,Developer running approved deployment script,False Positive,No
A00502,2026-02-16 18:50:17,EDR,Unusual Process Execution,Medium,"Uncommon process spawned by outlook.exe on Database Server on PC-0127, during business hours.",PC-0127,Database Server,Windows Server 2022,System Administrator,IT,71,43,10.97.43.40,192.168.206.3,India,rundll32.exe,outlook.exe,"rundll32.exe shell32.dll,Control_RunDLL",Not Applicable,10,1,9,0.67,0.33,False Positive,No,Authorized Administration,Whitelisted internal tool flagged by generic signature,False Positive,No
A00503,2026-02-16 19:48:10,EDR,Malware Detection,Medium,"Endpoint protection flagged a known malware family on host on PC-0171, per EDR rule set.",PC-0171,Admin Workstation,Windows 11,System Administrator,IT,52,46,192.168.36.56,10.8.104.133,Canada,unknown_binary.exe,outlook.exe,[quarantined-file-hash].exe (signature match: generic trojan),Not Applicable,0,0,0,0.44,0.58,True Incident,Yes,Malware,Command-and-control beaconing confirmed,True Incident,No
A00504,2026-02-17 00:23:00,IDS,Port Scan,Low,"Network scanning behavior observed targeting internal subnet on PC-0072, associated with system administrator account.",PC-0072,Developer Workstation,Windows 11,System Administrator,IT,43,29,192.168.28.133,10.172.118.8,Australia,svchost.exe,outlook.exe,"svchost.exe (routine execution, no notable arguments)",Not Applicable,4,2,8,0.91,0.08,False Positive,No,Security Tool Noise,Recurring vendor maintenance window,False Positive,No
A00505,2026-02-17 07:55:28,Firewall,Brute Force,Low,"Automated login attempts observed from 10.186.125.161 on PC-0035, on host running Windows 10.",PC-0035,Employee Laptop,Windows 10,Finance User,Finance,24,32,10.186.125.161,192.168.229.158,India,mshta.exe,outlook.exe,"mshta.exe (routine execution, no notable arguments)",Multiple Failed,4,1,4,0.51,0.49,False Positive,No,Approved Script,Legitimate software update,False Positive,No
A00506,2026-02-17 09:00:06,EDR,Ransomware Behavior,Critical,"Rapid file rename/encryption pattern detected on Database Server on PC-0159, involving process encrypt_proc.exe.",PC-0159,Database Server,Red Hat Enterprise Linux,Developer,Engineering,69,28,10.115.37.169,10.161.207.25,India,encrypt_proc.exe,cmd.exe,[redacted-binary].exe (mass file rename + extension change observed),Not Applicable,1,1,2,0.2,0.78,True Incident,Yes,Ransomware,Data exfiltration confirmed,True Incident,No
A00507,2026-02-17 10:55:50,EDR,Suspicious PowerShell,Medium,"Encoded PowerShell command observed originating from explorer.exe on PC-0045, on host running Ubuntu 22.04.",PC-0045,Developer Workstation,Ubuntu 22.04,Employee,Management,22,38,192.168.36.152,10.247.99.54,Germany,powershell.exe,explorer.exe,"powershell.exe -Command ""Get-Process""",Not Applicable,2,0,12,0.79,0.23,False Positive,No,Legitimate Software,Legitimate software update,False Positive,No
A00508,2026-02-17 11:13:42,SIEM,Data Exfiltration,Critical,"Unusual volume of data uploaded to external destination on PC-0214, per SIEM rule set.",PC-0214,Developer Workstation,Ubuntu 24.04,Finance User,Finance,37,25,137.212.65.199,17.2.240.106,United States,cmd.exe,services.exe,cmd.exe (flagged by behavioral detection rule),Not Applicable,13,6,9,0.25,0.74,True Incident,Yes,Data Exfiltration,Data exfiltration confirmed,True Incident,No
A00509,2026-02-17 12:44:39,EDR,Suspicious PowerShell,High,"PowerShell process launched with encoded parameters from winword.exe on PC-0051, in the Finance environment.",PC-0051,Web Server,Ubuntu 22.04,Finance User,Finance,67,25,10.130.18.155,192.168.181.131,India,powershell.exe,winword.exe,"powershell.exe -NoProfile -Command ""Get-Service""",Not Applicable,12,2,5,0.84,0.14,False Positive,No,Legitimate Software,Whitelisted internal tool flagged by generic signature,False Positive,No
A00510,2026-02-17 15:05:47,IDS,Suspicious DNS Query,Medium,"High-entropy DNS query pattern suggestive of tunneling on PC-0071, correlated with parent process explorer.exe.",PC-0071,Cloud VM,Windows Server 2022,Developer,Engineering,52,45,192.168.1.13,10.125.6.184,United Kingdom,mshta.exe,explorer.exe,"mshta.exe (routine execution, no notable arguments)",Not Applicable,6,2,7,0.83,0.14,False Positive,No,Approved Script,Recurring vendor maintenance window,False Positive,No
A00511,2026-02-17 17:38:53,IAM,Multiple Failed Logins,Low,"Repeated authentication failures observed from 192.168.20.62 on PC-0082, in the Finance environment. — pattern not previously observed for this endpoint/alert-type combination",PC-0082,Admin Workstation,Windows 11,Employee,Finance,62,33,192.168.20.62,192.168.204.176,Singapore,outlook.exe,outlook.exe,"outlook.exe (routine execution, no notable arguments)",Multiple Failed,2,0,2,0.36,0.62,False Positive,No,Authorized Administration,Whitelisted internal tool flagged by generic signature,False Positive,Yes
A00512,2026-02-18 02:34:49,Firewall,Abnormal Network Traffic,Medium,"Traffic volume deviates significantly from endpoint baseline on PC-0051, correlated with parent process services.exe.",PC-0051,Web Server,Ubuntu 22.04,HR User,HR,67,42,10.104.121.88,192.168.67.52,Germany,cmd.exe,services.exe,cmd.exe (flagged by behavioral detection rule),Not Applicable,13,2,6,0.72,0.24,True Incident,Yes,Data Exfiltration,Malware confirmed by endpoint investigation,True Incident,No
A00513,2026-02-18 09:33:44,Email Security,Phishing Email,Medium,"Email security engine flagged a message with spoofed sender domain on PC-0171, on host running Windows 11.",PC-0171,Admin Workstation,Windows 11,Developer,Engineering,52,38,192.168.60.154,192.168.47.139,India,python.exe,outlook.exe,"python.exe (routine execution, no notable arguments)",Not Applicable,1,1,3,0.46,0.53,False Positive,No,Expected User Behavior,Approved remote administration,False Positive,No
A00514,2026-02-18 10:26:50,EDR,Suspicious PowerShell,Medium,"Encoded PowerShell command observed originating from explorer.exe on PC-0158, associated with developer account.",PC-0158,Employee Laptop,Windows 11,Developer,Engineering,22,28,10.95.61.29,192.168.206.9,India,powershell.exe,explorer.exe,powershell.exe -ExecutionPolicy Bypass -File deploy.ps1,Not Applicable,8,1,26,0.75,0.2,False Positive,No,Security Tool Noise,IT-managed patch deployment triggered the rule,False Positive,No
